,Data,Attack,0.1,0.3,0.6,1.0,1.5
0,abalone,apgd,63.841583189828846,22.45350315153713,6.119546730174328,0.6074653424734325,0.0
2,australian,apgd,83.78368231465576,42.5383121730668,3.574492506109562,0.5389895124408399,0.5389895124408399
4,banknote,apgd,96.58181818181818,56.218181818181826,2.181818181818182,0.0,0.0
6,breastcancer,apgd,90.32830560867944,56.634672055232805,20.85892300845572,6.955219572042001,2.573190680667316
8,htru2,apgd,85.09175400764931,28.484521797463007,12.883860337932354,4.893157125617957,1.2915986762840115
10,phoneme,apgd,83.84687787939626,48.04436284857452,20.310654057867023,7.387144420275092,1.408338250544788
12,ringnorm,apgd,92.24481717762158,52.01409123786408,17.564321949454172,7.040454457761289,9.32993097993973
14,texture,apgd,70.48042288114658,8.179874731581357,0.8070370322018562,0.0917263010957038,0.0
1,abalone,fgsm,64.61788463468712,24.57451846267124,7.6412226551897335,1.4479619124667327,0.05952380952380952
3,australian,fgsm,84.32749885847231,49.582067110627044,13.787619843935211,4.441925725916072,3.5329217903634635
5,banknote,fgsm,96.5090909090909,56.218181818181826,2.545454545454546,0.0,0.0
7,breastcancer,fgsm,90.5152214965299,60.4206659930959,24.316325671465858,7.500887068644077,2.3946192520958873
9,htru2,fgsm,85.55293238079716,30.082870696189456,14.018301705577308,5.9485839238521265,1.9903034918520461
11,phoneme,fgsm,84.60168737553715,53.10598423202079,34.310078666018654,28.93790378561117,29.41931090829551
13,ringnorm,fgsm,92.42643048248162,58.95993209570931,27.345774371246247,24.564005037910704,43.01120199508034
15,texture,fgsm,73.74286281258199,17.452202953130488,8.161905570437158,4.970743457544984,3.741726517101979
