Dataset,Defense,Attack,Eps,AUC,Path
abalone,DM-δ,fgsm,0.300,0.8953177537644224,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_abalone_fgsm_0.300.csv
abalone,DM-δ,fgsm,0.600,0.9790342219098409,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_abalone_fgsm_0.600.csv
abalone,DM-δ,apgd,0.300,0.8528499412937238,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_abalone_apgd_0.300.csv
abalone,DM-δ,apgd,0.600,0.9709646801628935,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_abalone_apgd_0.600.csv
abalone,DM-δ,cw2,0.000,0.6717311745957478,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_abalone_cw2_0.000.csv
abalone,DM-δ,cw2,10.000,0.9783361239955515,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_abalone_cw2_10.000.csv
abalone,DM-γ,fgsm,0.300,0.8685035017096341,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_abalone_fgsm_0.300.csv
abalone,DM-γ,fgsm,0.600,0.9665998427258,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_abalone_fgsm_0.600.csv
abalone,DM-γ,apgd,0.300,0.8231629983531042,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_abalone_apgd_0.300.csv
abalone,DM-γ,apgd,0.600,0.93147359716054,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_abalone_apgd_0.600.csv
abalone,DM-γ,cw2,0.000,0.6287754222813251,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_abalone_cw2_0.000.csv
abalone,DM-γ,cw2,10.000,0.9695255845475285,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_abalone_cw2_10.000.csv
abalone,DM-κ,fgsm,0.300,0.8561494366286342,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_abalone_fgsm_0.300.csv
abalone,DM-κ,fgsm,0.600,0.9540796392864532,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_abalone_fgsm_0.600.csv
abalone,DM-κ,apgd,0.300,0.8024108419728134,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_abalone_apgd_0.300.csv
abalone,DM-κ,apgd,0.600,0.9272218905513727,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_abalone_apgd_0.600.csv
abalone,DM-κ,cw2,0.000,0.6109061801958713,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_abalone_cw2_0.000.csv
abalone,DM-κ,cw2,10.000,0.9701734748724729,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_abalone_cw2_10.000.csv
abalone,BB,fgsm,0.300,0.6497542012902761,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_abalone_fgsm_0.300.csv
abalone,BB,fgsm,0.600,0.8892414332979689,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_abalone_fgsm_0.600.csv
abalone,BB,apgd,0.300,0.6249448200090257,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_abalone_apgd_0.300.csv
abalone,BB,apgd,0.600,0.885781626710264,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_abalone_apgd_0.600.csv
abalone,BB,cw2,0.000,0.4917231822039701,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_abalone_cw2_0.000.csv
abalone,BB,cw2,10.000,0.9737490167214486,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_abalone_cw2_10.000.csv
abalone,Prob.,fgsm,0.300,0.513890571391521,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_abalone_fgsm_0.300.csv
abalone,Prob.,fgsm,0.600,0.25554295384667186,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_abalone_fgsm_0.600.csv
abalone,Prob.,apgd,0.300,0.38625210911783897,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_abalone_apgd_0.300.csv
abalone,Prob.,apgd,0.600,0.17266478433908045,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_abalone_apgd_0.600.csv
abalone,Prob.,cw2,0.000,0.993902656313376,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_abalone_cw2_0.000.csv
abalone,Prob.,cw2,10.000,0.0050000000000000044,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_abalone_cw2_10.000.csv
australian,DM-δ,fgsm,0.300,0.5631904557457559,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_australian_fgsm_0.300.csv
australian,DM-δ,fgsm,0.600,0.743526513458626,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_australian_fgsm_0.600.csv
australian,DM-δ,apgd,0.300,0.5683105604161405,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_australian_apgd_0.300.csv
australian,DM-δ,apgd,0.600,0.7519991421970954,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_australian_apgd_0.600.csv
australian,DM-δ,cw2,0.000,0.5204648963177134,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_australian_cw2_0.000.csv
australian,DM-δ,cw2,10.000,0.7283501130784701,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_australian_cw2_10.000.csv
australian,DM-γ,fgsm,0.300,0.8285126083400126,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_fgsm_0.300.csv
australian,DM-γ,fgsm,0.600,0.9615973612619739,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_fgsm_0.600.csv
australian,DM-γ,apgd,0.300,0.7847679769307648,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_apgd_0.300.csv
australian,DM-γ,apgd,0.600,0.948907605548174,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_apgd_0.600.csv
australian,DM-γ,cw2,0.000,0.6880975919378879,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_cw2_0.000.csv
australian,DM-γ,cw2,10.000,0.8628939245988245,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_australian_cw2_10.000.csv
australian,DM-κ,fgsm,0.300,0.8019262381097907,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_fgsm_0.300.csv
australian,DM-κ,fgsm,0.600,0.9452849062092544,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_fgsm_0.600.csv
australian,DM-κ,apgd,0.300,0.7644214907940824,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_apgd_0.300.csv
australian,DM-κ,apgd,0.600,0.9370853137015771,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_apgd_0.600.csv
australian,DM-κ,cw2,0.000,0.672470465692074,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_cw2_0.000.csv
australian,DM-κ,cw2,10.000,0.8672458565376948,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_australian_cw2_10.000.csv
australian,BB,fgsm,0.300,0.4844463573953049,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_fgsm_0.300.csv
australian,BB,fgsm,0.600,0.5467211023522376,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_fgsm_0.600.csv
australian,BB,apgd,0.300,0.5015761050510339,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_apgd_0.300.csv
australian,BB,apgd,0.600,0.5679114996661491,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_apgd_0.600.csv
australian,BB,cw2,0.000,0.46972752601158047,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_cw2_0.000.csv
australian,BB,cw2,10.000,0.5633578282863372,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_australian_cw2_10.000.csv
australian,Prob.,fgsm,0.300,0.7551840069029961,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_australian_fgsm_0.300.csv
